,index,LoadHourlyAvg,Percentile
665,665,3345.9381818181823,0.99
666,666,3344.58,0.99
667,667,3344.58,0.99
668,668,3344.220000000001,0.99
669,669,3343.9500000000007,0.99
670,670,3343.7700000000013,0.99
671,671,3343.6800000000007,0.99
672,672,3343.6800000000007,0.99
673,673,3343.41,0.99
674,674,3343.41,0.99
675,675,3343.14,0.989
676,676,3341.4300000000007,0.989
677,677,3340.800000000001,0.989
678,678,3340.350000000001,0.989
679,679,3340.08,0.989
680,680,3339.99,0.989
681,681,3338.6727272727285,0.989
682,682,3337.2900000000004,0.989
683,683,3336.930000000001,0.989
684,684,3336.7500000000005,0.989
685,685,3336.7500000000005,0.989
686,686,3334.320000000001,0.989
687,687,3334.32,0.989
688,688,3333.9600000000005,0.989
689,689,3333.870000000001,0.989
690,690,3333.870000000001,0.989
691,691,3333.51,0.989
692,692,3333.076363636364,0.989
693,693,3332.97,0.989
694,694,3332.880000000001,0.989
695,695,3332.88,0.989
696,696,3332.2500000000005,0.989
697,697,3330.3272727272724,0.989
698,698,3330.0327272727272,0.989
699,699,3329.934545454546,0.989
700,700,3329.370000000001,0.989
701,701,3328.74,0.989
702,702,3328.47,0.989
703,703,3328.380000000001,0.989
704,704,3327.48,0.989
705,705,3327.48,0.989
706,706,3326.8320000000003,0.989
707,707,3326.6945454545453,0.989
708,708,3326.49,0.989
709,709,3326.4,0.989
710,710,3326.203636363637,0.989
711,711,3326.0400000000004,0.989
712,712,3322.71,0.989
713,713,3322.188000000001,0.989
714,714,3322.0800000000013,0.989
715,715,3320.01,0.989
716,716,3318.938181818181,0.989
717,717,3318.300000000001,0.989
718,718,3318.1199999999994,0.989
719,719,3318.054545454546,0.989
720,720,3317.5636363636363,0.989
721,721,3317.4,0.989
722,722,3317.4,0.989
723,723,3316.680000000001,0.989
724,724,3315.870000000001,0.989
725,725,3315.780000000001,0.989
726,726,3315.780000000001,0.989
727,727,3315.51,0.989
728,728,3315.33,0.989
729,729,3314.970000000001,0.989
730,730,3314.61,0.989
731,731,3314.070000000001,0.989
732,732,3312.5400000000013,0.989
733,733,3310.200000000001,0.989
734,734,3309.2100000000005,0.989
735,735,3309.120000000001,0.989
736,736,3308.850000000001,0.989
737,737,3308.5799999999995,0.989
738,738,3307.77,0.989
739,739,3307.5490909090913,0.988
740,740,3306.8618181818188,0.988
741,741,3306.780000000001,0.988
742,742,3305.25,0.988
743,743,3305.16,0.988
744,744,3304.9800000000014,0.988
745,745,3304.44,0.988
746,746,3304.350000000001,0.988
747,747,3303.99,0.988
748,748,3303.720000000001,0.988
749,749,3303.130909090909,0.988
750,750,3302.1900000000005,0.988
751,751,3300.804,0.988
752,752,3299.9400000000005,0.988
753,753,3298.909090909091,0.988
754,754,3298.77,0.988
755,755,3298.680000000001,0.988
756,756,3298.32,0.988
757,757,3297.9600000000005,0.988
758,758,3297.829090909091,0.988
759,759,3297.600000000001,0.988
760,760,3297.6,0.988
761,761,3297.6,0.988
762,762,3295.7100000000014,0.988
