,index,LoadHourlyAvg,ZoneName,SignalMonth,ZoneAreaSqFt
21494,21494,1619.0181818181818,CAV-01-3A-24,10,268.0
21495,21495,1619.0181818181818,CAV-02-5A-03,9,268.0
21496,21496,1619.0100000000002,CAV-02-5A-05,10,348.0
21497,21497,1618.92,CAV-01-3A-10,8,256.0
21498,21498,1618.92,CAV-01-3A-10,5,256.0
21499,21499,1618.92,CAV-01-3A-07,9,269.0
21500,21500,1618.83,CAV-01-3A-10,10,256.0
21501,21501,1618.83,CAV-02-3A-05,11,348.0
21502,21502,1618.74,CAV-01-3A-17,10,264.0
21503,21503,1618.7399999999998,CAV-01-3A-18,5,250.0
21504,21504,1618.7399999999998,CAV-01-3A-23,6,334.0
21505,21505,1618.7236363636366,CAV-01-3A-21,2,263.0
21506,21506,1618.6500000000003,CAV-01-3A-12,6,252.0
21507,21507,1618.6500000000003,CAV-01-3A-15,2,255.0
21508,21508,1618.6499999999996,CAV-01-3A-12,10,252.0
21509,21509,1618.5600000000004,CAV-01-3A-16,6,255.0
21510,21510,1618.5600000000002,CAV-01-3A-15,3,255.0
21511,21511,1618.38,CAV-01-3A-15,9,255.0
21512,21512,1618.330909090909,CAV-02-5A-02,10,268.0
21513,21513,1618.2900000000002,CAV-01-3A-12,9,252.0
21514,21514,1618.2900000000002,CAV-01-3A-21,10,263.0
21515,21515,1618.2900000000002,CAV-01-3A-16,5,255.0
21516,21516,1618.29,CAV-01-3A-17,8,264.0
21517,21517,1618.29,CAV-01-3A-16,4,255.0
21518,21518,1618.29,CAV-02-3A-04,12,268.0
21519,21519,1618.2,CAV-01-3A-09,7,256.0
21520,21520,1618.2,CAV-01-3A-24,4,268.0
21521,21521,1618.1100000000004,CAV-01-3A-15,6,255.0
21522,21522,1618.1100000000004,CAV-02-3A-25,2,334.0
21523,21523,1618.11,CAV-01-3A-17,7,264.0
21524,21524,1618.036363636364,CAV-02-5A-02,4,268.0
21525,21525,1618.0363636363634,CAV-02-3A-02,5,268.0
21526,21526,1618.020000000001,CAV-02-3A-05,4,348.0
21527,21527,1618.0200000000004,CAV-01-3A-15,1,255.0
21528,21528,1618.0199999999998,CAV-01-3A-15,10,255.0
21529,21529,1617.93,CAV-01-3A-17,4,264.0
21530,21530,1617.93,CAV-01-3A-16,8,255.0
21531,21531,1617.93,CAV-01-3A-15,5,255.0
21532,21532,1617.8400000000004,CAV-01-3A-10,2,256.0
21533,21533,1617.84,CAV-01-3A-12,4,252.0
21534,21534,1617.75,CAV-02-3A-04,4,268.0
21535,21535,1617.7418181818182,CAV-01-3A-11,11,269.0
